date_time,minTemp,maxTemp,tempC,dewPoint,humidity,heatIndex,windSpeed,windGust,windDirection,windChill,precipitation,precipitationCover,snowDepth,visibility,cloudCover,sealevelPressure
01-01-2017,14,25.3,19.9,16.5,82.47,0,5.8,0,78.33,0,0,0,0,1.2,4.9,1015.9
02-01-2017,16,26,20.6,16,76.76,0,8.1,0,148.54,0,0,0,0,1.4,0.3,1015.6
03-01-2017,16,27,21.1,15.6,73.12,27.3,9.2,0,244.92,0,0,0,0,1.6,10.7,1014.7
04-01-2017,16,25,19.9,14.5,72.57,0,8.1,0,244.38,0,0,0,0,1.8,2.3,1014.6
05-01-2017,15,25.6,19.6,13.7,71.88,0,8.1,0,231.58,0,0,0,0,1.9,0,1013.7
06-01-2017,13,24.6,18.5,11.8,68.36,0,11.4,0,135.88,0,0,0,0,1.8,0,1013.9
07-01-2017,11,25.3,17.8,11.5,70.19,0,8.1,0,136.92,0,0,0,0,1.7,2.1,1012.5
08-01-2017,12,26.2,19.1,12,67.1,0,8.1,0,50.38,0,0,0,0,1.8,0,1012.3
09-01-2017,13,27,20,12.9,67.08,26.8,5.8,0,27.46,0,0,0,0,1.9,0,1012.1
10-01-2017,15,23.2,19,12.9,69.32,0,16.1,0,70.08,0,0,0,0,1.8,19.4,1013
11-01-2017,15,24.5,19.3,13,68.48,0,9.2,0,182.33,0,0,0,0,2,26.8,1013.6
12-01-2017,14,22.6,18.2,10,61.04,0,11.4,0,74.92,0,0,0,0,2,17.3,1014.1
13-01-2017,12,22.5,16.8,8,58.38,0,11.4,0,88,0,0,0,0,2,0,1015.2
14-01-2017,11,21.1,15.7,5.8,54.81,0,12.8,0,138.46,0,0,0,0,2.1,1.7,1016.7
15-01-2017,10,23.2,16.3,8.1,60.9,0,9.2,0,216.58,9.1,0,0,0,2,0.2,1016.8
16-01-2017,11,24,17.1,9.3,63.3,0,8.1,0,118.92,0,0,0,0,1.7,0,1015.8
17-01-2017,12,26.2,18.5,11,65.98,0,8.1,0,96.04,0,0,0,0,1.7,0,1015.7
18-01-2017,14,26.8,19.5,11.6,63.51,26.5,10.3,0,66.46,0,0,0,0,1.8,0,1018.4
19-01-2017,14,27,19.5,12.1,64.69,26.7,11.4,0,95.46,0,0,0,0,1.8,0,1018.1
20-01-2017,14,27,19.6,11.3,62.57,26.3,9.2,0,106.88,0,0,0,0,1.9,10.5,1017.6
21-01-2017,13,26,19,10.8,63.68,0,11.4,0,135.71,0,0,0,0,2,0,1018.3
22-01-2017,13,26,18.8,10.5,62.26,0,11.4,0,248.25,0,0,0,0,2.1,0,1018.4
23-01-2017,13,27,19.5,11.6,64.19,26.5,11.4,0,134.92,0,0,0,0,1.8,0,1017.3
24-01-2017,15.5,27,20.6,13.3,66.41,26.7,10.3,0,133.5,0,0,0,0,1.7,1.5,1017.8
25-01-2017,15,28,21,14.7,70.3,27.6,9.2,0,127.75,0,0,0,0,1.7,0,1017.9
26-01-2017,16,30,22.6,14.7,64.32,29.2,5.8,0,92.83,0,0,0,0,2,11.1,1016.7
27-01-2017,18,26,21.6,17,76.4,0,5.8,0,147.75,0,0.38,8.33,0,1.4,46,1015
28-01-2017,16,25.9,20.7,15.5,73.49,0,11.4,0,247.25,0,0,0,0,1.6,4.7,1014.7
29-01-2017,15,24.1,19.3,12.8,67.53,0,10.3,0,121.63,0,0,0,0,2.3,0,1015.9
30-01-2017,15,26,20.1,12.9,66.25,0,8.1,0,194.13,0,0,0,0,2.1,0,1014.5
31-01-2017,15,28,21.3,15.3,71.28,28.3,6.9,0,105.88,0,0,0,0,1.6,10.4,1014
01-02-2017,16,27,21.6,15.6,70.65,27.5,6.9,0,128.88,0,0,0,0,1.7,10,1015.6
02-02-2017,15,25.3,20.3,15.1,73.7,0,8.1,0,103.17,0,0,0,0,1.5,5.8,1017.5
03-02-2017,15,26,19.9,13.1,67.61,0,10.3,0,163.92,0,0,0,0,1.8,6.7,1016.4
04-02-2017,15,27,21,14.3,68.08,27.1,9.2,0,112.92,0,0,0,0,1.8,3.8,1014.6
05-02-2017,17,29,22.4,15,67.17,28.4,5.8,0,77.92,0,0,0,0,1.9,0,1013.2
06-02-2017,16,30,22.6,14.1,62.98,29,6.9,0,155.92,0,0,0,0,1.9,0.3,1011.8
07-02-2017,18.5,29,23.2,15.1,62.64,28.8,10.3,0,163.21,0,0,0,0,1.9,0,1012.3
08-02-2017,17,28,21.9,12.5,59.2,27.2,9.2,0,205.54,0,0,0,0,2.1,0,1014.1
09-02-2017,16,29,22.3,13.2,60.31,28.1,6.9,0,107.17,0,0,0,0,2,0,1013.1
10-02-2017,19,29.2,23.5,16.7,68.99,29.2,6.9,0,164.13,0,0,0,0,1.5,2.1,1012.8
11-02-2017,18,28.9,23.2,15.8,65.34,28.7,9.2,0,63.92,0,0,0,0,1.8,6.6,1015.4
12-02-2017,18,29.6,23.3,15.1,61.83,29.5,8.1,0,71.5,0,0,0,0,1.8,0,1017.5
13-02-2017,18,29.5,23.4,16,66,30,5.8,0,102.13,0,0,0,0,1.7,0,1018.3
14-02-2017,19,31.2,24.7,16.8,65.74,30.9,5.8,0,104.67,0,0,0,0,1.7,10.4,1018.9
15-02-2017,19,29.3,23.7,15.2,61.97,28.8,8.1,0,124.75,0,0,0,0,1.9,3.7,1018.9
16-02-2017,18,29.3,23.2,14.4,59.85,29,5.8,0,124.79,0,0,0,0,1.8,0.3,1016.5
17-02-2017,18,29.5,23.6,16.1,65.81,29.2,6.9,0,116,0,0,0,0,1.7,0.2,1015.5
18-02-2017,19,30,24.5,18,69.58,30.9,6.9,0,120.7,0,0,0,0,1.7,15,1015.2
19-02-2017,20,30,25,20.1,75.61,31.9,6.9,0,149.46,0,0,0,0,1.7,35.2,1012.4
20-02-2017,23.4,31,26.5,21.6,75.79,34.6,10.3,0,238.21,0,0,0,0,1.7,27.2,1008
21-02-2017,23,32.2,26.8,21.3,73.93,35.7,16.1,0,200.79,0,0,0,0,2,13.8,1007.9
22-02-2017,24,32,27.1,21.9,74.3,35,15,0,215.04,0,0,0,0,2.2,31,1009.2
23-02-2017,22,31,26.2,15.8,57.27,29.3,10.3,0,179.58,0,0.17,4.17,0,2.3,23.7,1011.7
24-02-2017,18,30,24,10.4,46.36,28.3,6.9,0,163.92,0,0,0,0,2.3,0,1014
25-02-2017,17,29,22.9,10.1,48.12,27.6,11.4,0,141.67,0,0,0,0,2.3,0,1013.3
